avg,vote
3713.201421800948,0
0,9
1265123.8932038834,3
28273827.56606335,7
35506568.371841155,8
4378895.540929204,4
329332.96774193546,1
285919.48780487804,2
23212296.758208957,6
13913008.152269399,5
20947.85185185185,10
